id,lat,lng,group2
6070,62.9308,18.3448,S+E
6071,62.9308,18.3448,S+E
6073,56.1481,15.8155,N+K
6074,56.4573,16.1308,S+E
6076,55.6942,13.4504,N+K
6077,55.6942,13.4504,N+K
6085,55.7097,13.2145,S+E
6086,58.9,11.2,N+K
6087,56.4666,16.1284,N+K
6088,56.4666,16.1284,N+K
6090,55.6525,13.2197,N+K
6091,55.6525,13.215,N+K
6092,55.6514,13.2233,N+K
6094,55.6494,13.2147,N+K
6095,55.6486,13.2161,S+E
6096,55.6472,13.2225,S+E
6097,55.6481,13.2264,N+K
6098,55.6561,13.2178,N+K
6099,55.6575,13.2386,N+K
6100,55.6,13.2,S+E
6101,55.6,13.2,S+E
6102,55.6,13.2,S+E
6104,55.7,13.2,N+K
6105,55.7967,13.1211,N+K
6106,55.7931,13.1186,N+K
6107,55.7942,13.1222,N+K
6108,55.7989,13.1206,N+K
6109,55.7936,13.1233,S+E
6111,55.7989,13.1219,N+K
6112,55.7967,13.1044,N+K
6113,55.8078,13.1028,N+K
6114,55.8097,13.1342,N+K
6115,55.8,13.1367,N+K
6118,55.7,13.2,N+K
6119,55.7,13.2,S+E
6122,55.8364,13.3075,N+K
6123,55.8369,13.3033,N+K
6124,55.8378,13.3092,N+K
6125,55.8403,13.3106,N+K
6126,55.8411,13.3047,N+K
6128,55.8397,13.2881,N+K
6131,55.8369,13.3181,N+K
6132,55.8386,13.3186,N+K
6133,55.8364,13.2906,N+K
6134,55.8383,13.2906,N+K
6136,55.9336,13.5519,N+K
6137,55.9419,13.5603,N+K
6138,55.9403,13.5511,N+K
6140,55.9392,13.5539,N+K
6141,55.9414,13.5542,N+K
6142,55.9428,13.5558,N+K
6145,55.9497,13.5533,N+K
6148,55.9319,13.5508,N+K
6149,55.9281,13.5481,N+K
6150,55.9261,13.5319,N+K
6151,55.6528,13.2244,N+K
6153,62.6425,17.7422,N+K
6154,62.6422,17.7406,N+K
6163,62.6425,17.7356,N+K
6166,62.6425,17.7372,N+K
6169,62.8714,18.3447,S+E
6172,62.8717,18.3436,S+E
6173,62.8717,18.3419,S+E
6174,62.8719,18.3422,S+E
6177,62.6322,17.69,S+E
6180,62.6322,17.6906,N+K
6184,62.8892,18.4522,S+E
6188,55.7683,14.1386,N+K
6189,55.7686,14.1383,N+K
6191,55.7689,14.1375,N+K
6192,55.7692,14.1369,N+K
6193,55.7694,14.1347,N+K
6194,55.7706,14.1342,N+K
6195,55.7708,14.1342,N+K
6198,55.7708,14.1331,N+K
6201,55.7719,14.1211,N+K
6202,55.7717,14.1206,N+K
6203,55.7714,14.1208,N+K
6209,62.8836,18.1842,S+E
6210,62.8839,18.1836,N+K
6214,63.0175,18.3281,S+E
6216,63.0167,18.3283,N+K
6217,63.0169,18.3283,S+E
6218,63.0172,18.3283,S+E
6220,62.806,18.1896,S+E
6221,62.806,18.1896,S+E
6231,62.96,18.2844,S+E
6235,62.9611,18.3589,S+E
6237,62.9619,18.35,S+E
6238,62.9619,18.35,S+E
6240,62.9622,18.35,S+E
6241,62.9614,18.3608,S+E
6242,55.7,13.2,N+K
6243,56.27373,13.90045,S+E
6244,62.9169,18.4728,S+E
6252,55.5796,14.3336,S+E
6255,55.5796,14.334,S+E
6258,55.5796,14.3336,S+E
6268,55.5796,14.3336,S+E
6276,55.5796,14.3336,S+E
6284,55.5796,14.3336,N+K
6296,49.2771,16.6314,S+E
6390,49.2771,16.6314,N+K
6396,49.2771,16.6314,N+K
6413,56.06,13.97,N+K
6424,49.3853,16.2544,N+K
6434,49.3853,16.2544,N+K
6445,49.3853,16.2544,N+K
6680,51.85,6.4333,S+E
6739,40.8585,-73.4675,S+E
6740,40.8585,-73.4675,S+E
6744,40.8585,-73.4675,N+K
6749,42.4489,-76.5072,S+E
6750,42.4489,-76.5072,S+E
6805,42.373,-71.0627,S+E
6806,42.373,-71.0627,S+E
6814,41.2816,-86.621,S+E
6830,49.5,73.1,N+K
6897,45.0,1.3,N+K
6898,51.2167,4.4,N+K
6900,63.324,18.484,S+E
6901,63.324,18.484,S+E
6903,49.4013,16.2326,N+K
6904,49.2,16.6166,N+K
6907,51.4083,-0.6383,N+K
6908,51.4083,-0.6383,N+K
6909,38.3,-92.3,N+K
6911,15.1111,-23.6167,N+K
6913,62.877,18.177,S+E
6915,50.3,6.3,N+K
6917,63.0165,18.3174,S+E
6918,63.0165,18.3174,S+E
6919,50.3,8.0,N+K
6920,51.5338,9.9355,N+K
6922,50.3,8.0,N+K
6923,51.4083,-0.6383,N+K
6924,51.4083,-0.6383,N+K
6926,44.46,-85.37,N+K
6927,41.2816,-86.621,S+E
6929,38.48,68.49,S+E
6931,49.5,73.1,S+E
6932,47.984,10.8719,N+K
6933,41.59,2.49,N+K
6938,55.7522,37.6322,S+E
6940,50.3,8.3,N+K
6943,51.4083,-0.6383,N+K
6944,51.4083,-0.6383,N+K
6945,52.24,4.45,N+K
6951,49.42,16.36,N+K
6956,49.42,16.36,N+K
6957,49.42,16.36,N+K
6958,46.0,3.3,N+K
6959,48.5,-1.41,N+K
6960,48.5,-1.41,N+K
6961,38.3333,-3.53333,N+K
6963,38.35,68.48,S+E
6966,51.4083,-0.6383,N+K
